İlan no,Son Güncelleme Tarihi,İlan Durumu,Konut Şekli,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Aidat,Takas,Cephe,Kira Getirisi,Yakıt Tipi,Yetkili Ofis,Semt,Mahalle,Fiyat
124743-42,Bugün,Satılık,Daire,2 + 1,"
                          105 m2
                        ",1. Kat,12 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,30 TL,Evet,Güney,1.500 TL,Doğalgaz,Evet,Keçiören,Ayvalı,217.000 TL
74395-199,Dün,Satılık,Residence,4 + 1,"
                          225 m2
                        ",1. Kat,Sıfır Bina,Kombi,25 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,200 TL,Evet,Güney,2.500 TL,Doğalgaz,,Mamak,General Zeki Doğan,975.000 TL
36828-3455,2 Gün Önce,Satılık,Daire,4 + 1,"
                          200 m2
                        ",1. Kat,Sıfır Bina,Kombi,9 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,,3.000 TL,Doğalgaz,,Etimesgut,Bağlıca,1.199.000 TL
16354-21659,6 Gün Önce,Satılık,Daire,4 + 1,"
                          225 m2
                        ",6. Kat,Sıfır Bina,Merkezi (Pay Ölçer),22 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,"Kuzey, Güney, Doğu, Batı",3.500 TL,Doğalgaz,Evet,Keçiören,Ovacık,950.000 TL
1170-4848,19 Gün Önce,Satılık,Daire,4 + 1,"
                          220 m2
                        ",4. Kat,Sıfır Bina,Kombi,5 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,,,,Hayır,"Güney, Batı",,Doğalgaz,Evet,Çankaya,Maltepe,1.300.000 TL
36828-3530,2 Gün Önce,Satılık,Daire,4 + 1,"
                          218 m2
                        ",1. Kat,Sıfır Bina,Merkezi (Pay Ölçer),16 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,,4.500 TL,Doğalgaz,Evet,Etimesgut,Bağlıca,1.349.000 TL
54420-1781,10 Gün Önce,Satılık,Daire,3 + 1,"
                          110 m2
                        ",3. Kat,35 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,,,Boş,Kat Mülkiyeti,40 TL,Hayır,"Güney, Doğu",2.400 TL,Doğalgaz,Evet,Çankaya,Bahçelievler,650.000 TL
4901-1545,4 Gün Önce,Satılık,Daire,4 + 1,"
                          200 m2
                        ",3. Kat,Sıfır Bina,Merkezi (Pay Ölçer),14 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,150 TL,Evet,"Kuzey, Güney, Doğu, Batı",3.500 TL,Doğalgaz,Evet,Keçiören,Ovacık,869.000 TL
123854-30,19 Gün Önce,Satılık,Daire,4 + 1,"
                          262 m2
                        ",1. Kat,Sıfır Bina,Merkezi,9 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat İrtifakı,,Evet,"Kuzey, Güney, Doğu, Batı",,Doğalgaz,Evet,Etimesgut,Bağlıca,1.299.000 TL
114844-466,13 Gün Önce,Satılık,Daire,2 + 1,"
                          110 m2
                        ",5. Kat,Sıfır Bina,Merkezi (Pay Ölçer),11 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,,,Doğalgaz,,Etimesgut,Bağlıca,799.000 TL
114844-500,6 Gün Önce,Satılık,Daire,4 + 1,"
                          200 m2
                        ",1. Kat,Sıfır Bina,Merkezi (Pay Ölçer),9 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,"Güney, Doğu",3.500 TL,Doğalgaz,,Etimesgut,Bağlıca,1.149.000 TL
3483-3879,Dün,Satılık,Daire,3 + 1,"
                          145 m2
                        ",3. Kat,25 Yaşında,Merkezi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,400 TL,Evet,"Güney, Doğu",450 TL,Doğalgaz,Evet,Çankaya,Ayrancı,735.000 TL
5042-3034,7 Gün Önce,Satılık,Daire,3 + 1,"
                          110 m2
                        ",3. Kat,35 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,75 TL,Hayır,"Güney, Doğu",1.600 TL,Doğalgaz,Evet,Çankaya,Yukarı Bahçelievler,595.000 TL
74395-181,Dün,Satılık,Daire,4 + 1,"
                          225 m2
                        ",1. Kat,Sıfır Bina,Kombi,25 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Yapım Aşamasında,Boş,Kat İrtifakı,200 TL,Evet,Güney,2.500 TL,Doğalgaz,Evet,Mamak,General Zeki Doğan,1.050.000 TL
4937-5218,Bugün,Satılık,Daire,4 + 1,"
                          155 m2
                        ",2. Kat,14 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,75 TL,Hayır,"Kuzey, Batı",,Doğalgaz,Evet,Çankaya,Gökkuşağı,795.000 TL
1350-3568,Bugün,Satılık,Daire,4 + 1,"
                          200 m2
                        ",8. Kat,4 Yaşında,Merkezi (Pay Ölçer),9 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,,,Doğalgaz,Evet,Pursaklar,Saray Cumhuriyet,645.000 TL
1350-3550,Bugün,Satılık,Daire,3 + 1,"
                          130 m2
                        ",4. Kat,10 Yaşında,Kombi,10 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,"Güney, Doğu",,Doğalgaz,Evet,Pursaklar,Mimar Sinan,455.000 TL
1350-3571,Bugün,Satılık,Daire,3 + 1,"
                          130 m2
                        ",2. Kat,10 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,,,Doğalgaz,Evet,Pursaklar,Merkez,529.000 TL
70969-2983,Bugün,Satılık,Daire,3 + 1,"
                          130 m2
                        ",3. Kat,8 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,Hayır,"Kuzey, Doğu",,Doğalgaz,,Keçiören,Uyanış,480.000 TL
2545-5849,Bugün,Satılık,Daire,4 + 1,"
                          188 m2
                        ",12. Kat,Sıfır Bina,Merkezi (Pay Ölçer),12 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,"Kuzey, Güney, Doğu, Batı",3.000 TL,Doğalgaz,Evet,Pursaklar,Mimar Sinan,1.320.000 TL
4110-1974,Bugün,Satılık,Daire,3 + 1,"
                          136 m2
                        ",1. Kat,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,50 TL,Hayır,"Kuzey, Doğu, Batı",1.650 TL,Doğalgaz,Evet,Çankaya,Huzur,455.000 TL
119311-4,Dün,Satılık,Daire,4 + 1,"
                          195 m2
                        ",2. Kat,Sıfır Bina,Merkezi,16 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat İrtifakı,,Hayır,"Kuzey, Güney, Doğu",,Doğalgaz,Evet,Keçiören,Kuşcağız,780.000 TL
5554-4213,Bugün,Satılık,Daire,4 + 1,"
                          195 m2
                        ",5. Kat,12 Yaşında,Kombi,10 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,200 TL,Hayır,"Kuzey, Doğu",2.900 TL,Doğalgaz,Evet,Çankaya,Çiğdem,1.320.000 TL
123338-68,Dün,Satılık,Daire,9 + 1,"
                          440 m2
                        ",13. Kat,10 Yaşında,Merkezi (Pay Ölçer),20 Katlı,Uygun değil,Eşyalı Değil,4,,İkinci El,Ev Sahibi Oturuyor,,,Evet,,25.000 TL,,,Çankaya,Güzeltepe,5.950.000 TL
2450-1152,Bugün,Satılık,Daire,4 + 2,"
                          350 m2
                        ",4. Kat,14 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,100 TL,Hayır,"Güney, Batı",5.000 TL,Doğalgaz,,Çankaya,Çiğdem,1.400.000 TL
29364-19449,Bugün,Satılık,Daire,3 + 1,"
                          110 m2
                        ",En Üst Kat,23 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Hayır,"Kuzey, Batı",,Doğalgaz,Evet,Etimesgut,Şeyh Şamil,357.000 TL
112435-1850,Dün,Satılık,Daire,5 + 2,"
                          295 m2
                        ",10. Kat,4 Yaşında,Kombi,10 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,100 TL,Evet,"Kuzey, Güney, Batı",1.500 TL,Doğalgaz,Evet,Altındağ,Güneşevler,1.190.000 TL
6310-17498,Bugün,Satılık,Daire,3 + 1,"
                          105 m2
                        ",Giriş Katı,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,40 TL,Hayır,"Güney, Doğu, Batı",1.000 TL,Doğalgaz,Evet,Çankaya,İlker,275.000 TL
14984-3199,Bugün,Satılık,Daire,3 + 1,"
                          135 m2
                        ",1. Kat,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,35 TL,Hayır,Batı,2.500 TL,Doğalgaz,Evet,Çankaya,İlkadım,625.000 TL
59864-3023,Bugün,Satılık,Daire,3 + 1,"
                          140 m2
                        ",4. Kat,7 Yaşında,Kombi,9 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,110 TL,Hayır,Batı,1.500 TL,Doğalgaz,Evet,Mamak,Cengizhan,475.000 TL
65258-3148,Bugün,Satılık,Daire,4 + 1,"
                          210 m2
                        ",3. Kat,2 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,,Evet,"Kuzey, Batı",,Doğalgaz,Evet,Mamak,Ekin,320.000 TL
111334-1454,Bugün,Satılık,Daire,2 + 1,"
                          100 m2
                        ",2. Kat,Sıfır Bina,Merkezi (Pay Ölçer),21 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Yapım Aşamasında,Boş,Kat İrtifakı,,Hayır,Batı,4.000 TL,Doğalgaz,Evet,Çankaya,Beytepe,890.000 TL
2688-264,Bugün,Satılık,Daire,1 + 1,"
                          42 m2
                        ",1. Kat,Sıfır Bina,Kombi,4 Katlı,Uygun değil,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat İrtifakı,,Evet,Güney,,Doğalgaz,Evet,Gölbaşı,Kızılcaşar,475.000 TL
8168-2150,Dün,Satılık,Daire,3 + 1,"
                          115 m2
                        ",En Üst Kat,40 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,50 TL,Hayır,"Güney, Batı",1.750 TL,Doğalgaz,Evet,Çankaya,İleri,365.000 TL
89899-971,Bugün,Satılık,Daire,3 + 1,"
                          105 m2
                        ",Kot 1,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,30 TL,Evet,"Güney, Doğu",800 TL,Doğalgaz,Evet,Mamak,Mutlu,225.000 TL
2533-2286,Bugün,Satılık,Daire,3 + 1,"
                          145 m2
                        ",Giriş Katı,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,,Hayır,"Güney, Batı",,Doğalgaz,Evet,Çankaya,Bahçelievler,1.100.000 TL
102398-270,Dün,Satılık,Daire,3 + 1,"
                          135 m2
                        ",4. Kat,10 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,"Kuzey, Batı",1.300 TL,Doğalgaz,Evet,Sincan,Fevzi Çakmak,275.000 TL
7705-4833,Dün,Satılık,Daire,3 + 1,"
                          120 m2
                        ",Kot 1,19 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,50 TL,Hayır,Batı,1.250 TL,Doğalgaz,Evet,Çankaya,İlkadım,235.000 TL
53653-1773,Bugün,Satılık,Daire,2 + 1,"
                          125 m2
                        ",Kot 1,36 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,65 TL,Hayır,"Güney, Doğu, Batı",2.000 TL,Doğalgaz,Evet,Çankaya,Aziziye,415.000 TL
53138-8631,Dün,Satılık,Daire,3 + 1,"
                          115 m2
                        ",Giriş Katı,5 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,1 TL,Evet,"Kuzey, Güney, Doğu, Batı",1 TL,Doğalgaz,Evet,Mamak,Mutlu,330.000 TL
4901-2434,Dün,Satılık,Daire,3 + 1,"
                          135 m2
                        ",1. Kat,4 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,50 TL,Evet,"Kuzey, Güney, Doğu, Batı",1.300 TL,Doğalgaz,Evet,Keçiören,Yükseltepe,419.000 TL
104775-4118,Dün,Satılık,Daire,3 + 1,"
                          140 m2
                        ",3. Kat,4 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Belirtilmemiş,Kat Mülkiyeti,40 TL,Evet,"Kuzey, Güney, Doğu, Batı",2.200 TL,Doğalgaz,Evet,Mamak,General Zeki Doğan,515.000 TL
1170-5053,Bugün,Satılık,Daire,2 + 1,"
                          80 m2
                        ",Bahçe Katı,35 Yaşında,Merkezi,9 Katlı,Uygun,Eşyalı Değil,1,Betonarme,,Kiracı Oturuyor,Kat Mülkiyeti,300 TL,Hayır,"Kuzey, Batı",,Doğalgaz,Evet,Çankaya,Emek,365.000 TL
124917-23,Bugün,Satılık,Daire,3 + 1,"
                          130 m2
                        ",Giriş Katı,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,150 TL,Hayır,Güney,,Doğalgaz,Evet,Altındağ,Aydınlıkevler,760.000 TL
3341-17788,Bugün,Satılık,Daire,3 + 1,"
                          120 m2
                        ",2. Kat,26 Yaşında,Merkezi,8 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,400 TL,Hayır,Doğu,2.800 TL,Doğalgaz,Evet,Çankaya,Huzur,645.000 TL
65739-16866,Dün,Satılık,Daire,4 + 1,"
                          240 m2
                        ",9. Kat,1 Yaşında,Merkezi (Pay Ölçer),19 Katlı,Uygun,Eşyalı,2,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,,Hayır,"Güney, Doğu",3.000 TL,Doğalgaz,Evet,Altındağ,Güneşevler,1.300.000 TL
6464-10323,Dün,Satılık,Daire,1 + 1,"
                          100 m2
                        ",Kot 1,29 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,35 TL,Hayır,"Kuzey, Batı",1.000 TL,Doğalgaz,,Çankaya,Aydınlar,198.000 TL
93678-7713,Bugün,Satılık,Daire,4 + 1,"
                          215 m2
                        ",2. Kat,2 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,50 TL,Evet,"Güney, Doğu",2.000 TL,Doğalgaz,Evet,Keçiören,Yükseltepe,499.000 TL
5497-5981,Dün,Satılık,Daire,3 + 1,"
                          125 m2
                        ",3. Kat,25 Yaşında,Merkezi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,650 TL,Hayır,"Kuzey, Doğu, Batı",4.000 TL,Doğalgaz,Evet,Çankaya,Bahçelievler,1.250.000 TL
1493-12714,Dün,Satılık,Daire,3 + 1,"
                          110 m2
                        ",5. Kat,18 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,35 TL,Hayır,Doğu,1.000 TL,Doğalgaz,Evet,Sincan,Selçuklu,217.000 TL
113784-382,Dün,Satılık,Daire,4 + 1,"
                          250 m2
                        ",20. Kat,Sıfır Bina,Merkezi (Pay Ölçer),24 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,100 TL,Evet,"Güney, Doğu, Batı",3.500 TL,Doğalgaz,Evet,Keçiören,Ovacık,1.050.000 TL
7956-1125,Dün,Satılık,Daire,4 + 1,"
                          208 m2
                        ",11. Kat,2 Yaşında,Merkezi (Pay Ölçer),18 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,,"Güney, Doğu",3.500 TL,,Evet,Yenimahalle,Turgut Özal,1.225.000 TL
8450-1623,Bugün,Satılık,Daire,3 + 1,"
                          130 m2
                        ",1. Kat,35 Yaşında,Merkezi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Belirtilmemiş,Kat Mülkiyeti,545 TL,Hayır,"Güney, Batı",2.800 TL,Doğalgaz,Evet,Çankaya,Bahçelievler,760.000 TL
118347-428,Dün,Satılık,Daire,3 + 1,"
                          120 m2
                        ",Kot 3,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Evet,,800 TL,Doğalgaz,Evet,Keçiören,İncirli,210.000 TL
84156-1830,Dün,Satılık,Daire,5 + 1,"
                          250 m2
                        ",4. Kat,1 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat İrtifakı,,Hayır,"Kuzey, Güney, Doğu, Batı",3.000 TL,Doğalgaz,Evet,Çankaya,Keklik Pınarı,750.000 TL
5235-8714,Bugün,Satılık,Daire,3 + 1,"
                          135 m2
                        ",Yüksek Giriş,2 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,100 TL,Hayır,"Güney, Batı",1.800 TL,Doğalgaz,Evet,Çankaya,Şehit Cengiz Karaca,445.000 TL
25069-1799,Dün,Satılık,Daire,1 + 1,"
                          90 m2
                        ",13. Kat,15 Yaşında,Merkezi,13 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,Hayır,"Güney, Doğu, Batı",9.000 TL,Doğalgaz,Evet,Çankaya,Büyükesat,1.150.000 TL
15878-12933,Dün,Satılık,Daire,3 + 1,"
                          130 m2
                        ",1. Kat,1 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,"Kuzey, Güney, Doğu, Batı",2.000 TL,Doğalgaz,Evet,Keçiören,Yayla,680.000 TL
69912-582,Dün,Satılık,Daire,3 + 1,"
                          115 m2
                        ",Yüksek Giriş,25 Yaşında,Merkezi,3 Katlı,Uygun,Eşyalı,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,75 TL,Evet,"Güney, Batı",2.250 TL,Doğalgaz,Evet,Çankaya,Maltepe,460.000 TL
112187-525,Dün,Satılık,Villa,8 + 2,"
                          550 m2
                        ",,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,4,,Sıfır,Boş,,430 TL,,"Kuzey, Güney, Doğu, Batı",,,Evet,Çankaya,Mutlukent,6.500.000 TL
92647-2260,Dün,Satılık,Daire,4 + 1,"
                          190 m2
                        ",1. Kat,Sıfır Bina,Merkezi (Pay Ölçer),9 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,"Kuzey, Güney, Doğu, Batı",3.800 TL,Doğalgaz,,Etimesgut,Bağlıca,1.195.000 TL
124525-21,Dün,Satılık,Daire,3 + 1,"
                          165 m2
                        ",2. Kat,6 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Belirtilmemiş,Kat Mülkiyeti,,Hayır,"Güney, Doğu, Batı",2.000 TL,Doğalgaz,Evet,Keçiören,Şehit Kubilay,585.000 TL
57660-825,Bugün,Satılık,Villa,5 + 1,"
                          400 m2
                        ",,8 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,4,Betonarme,İkinci El,Boş,,1.000 TL,Hayır,"Kuzey, Güney, Doğu, Batı",15.000 TL,Doğalgaz,Evet,Çankaya,Alacaatlı,3.230.000 TL
11065-1743,Bugün,Satılık,Müstakil Ev,8 + 2,"
                          3.500 m2
                        ",,25 Yaşında,Kat Kaloriferi,3 Katlı,Uygun,Eşyalı Değil,3,Betonarme,İkinci El,Boş,Arsa,,Evet,"Kuzey, Güney, Doğu, Batı",,Akaryakıt,Evet,Çankaya,Dodurga,2.500.000 TL
62044-3384,Bugün,Satılık,Daire,3 + 1,"
                          145 m2
                        ",1. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,"Güney, Doğu, Batı",1.000 TL,Doğalgaz,Evet,Altındağ,Karapürçek,380.000 TL
16167-957,Dün,Satılık,Daire,3 + 1,"
                          148 m2
                        ",4. Kat,14 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,100 TL,Evet,Güney,2.000 TL,Doğalgaz,Evet,Yenimahalle,İlkyerleşim,507.000 TL
2646-889,Dün,Satılık,Daire,5 + 1,"
                          240 m2
                        ",9. Kat,20 Yaşında,Kombi,9 Katlı,Uygun,Eşyalı Değil,3,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,100 TL,Hayır,"Kuzey, Doğu",4.000 TL,Doğalgaz,Evet,Çankaya,Yukarı Öveçler,1.350.000 TL
14225-2781,Dün,Satılık,Daire,4 + 1,"
                          165 m2
                        ",Kot 1,13 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,150 TL,Hayır,"Güney, Doğu",2.500 TL,Doğalgaz,Evet,Çankaya,Akpınar,575.000 TL
124439-2,Dün,Satılık,Daire,4 + 1,"
                          260 m2
                        ",4. Kat,15 Yaşında,Merkezi,5 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat İrtifakı,860 TL,Hayır,"Güney, Doğu, Batı",,Doğalgaz,Evet,Çankaya,Mutlukent,3.200.000 TL
8316-2149,Bugün,Satılık,Villa,2 + 1,"
                          150 m2
                        ",,31 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,180 TL,Hayır,"Doğu, Batı",3.500 TL,Doğalgaz,Evet,Çankaya,Konutkent,1.845.000 TL
47587-987,Bugün,Satılık,Daire,3 + 1,"
                          110 m2
                        ",4. Kat,40 Yaşında,Merkezi,4 Katlı,Uygun,Eşyalı Değil,1,Kagir,İkinci El,Boş,Kat Mülkiyeti,420 TL,Hayır,,,Doğalgaz,Evet,Çankaya,Oran,690.000 TL
86604-5325,Dün,Satılık,Daire,3 + 1,"
                          116 m2
                        ",Giriş Katı,8 Yaşında,Merkezi (Pay Ölçer),11 Katlı,Uygun değil,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,150 TL,Hayır,Doğu,600 TL,Doğalgaz,Evet,Etimesgut,Yapracık,105.000 TL
